LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/min),(pixel/min),(pixel),(min),(pixel),(pixel),(pixel),
ID4032 → ID4359,216,4032,4359,26.411314922331382,1.4111161730985822,5.139193995397662,5.139193995397662,8.5,186.48985249859646,416.6739680212446,0.0,
ID16779 → ID17148,216,16779,17148,21.553757127873588,0.8734384709225289,4.6426024089807205,4.6426024089807205,57.5,167.2255444175596,401.6200695164573,0.0,
ID3480 → ID3700,216,3480,3700,0.6218746143360977,1.8146382874404545,0.7885902702519844,0.7885902702519844,6.5,187.1585881214209,419.8133718653818,0.0,
ID11212 → ID11490,216,11212,11490,3.4670894296710997,2.119325141511762,1.8620121991198393,1.8620121991198393,36.5,180.50218352595806,405.74257613508814,0.0,
ID20751 → ID21139,216,20751,21139,2.9958029982978873,2.455342029027946,1.7308388134941646,1.7308388134941646,72.5,196.97055966908908,409.1443496046437,0.0,
ID17944 → ID18202,216,17944,18202,41.6825586501969,0.1713480484678559,6.456203114075401,6.456203114075401,61.5,174.03061270452574,406.01138475051516,0.0,
ID4359 → ID4604,216,4359,4604,3.6652219425667614,0.8897718524460105,1.9144769370683892,1.9144769370683892,9.5,185.01093823010916,413.7706647444884,0.0,
ID19532 → ID19777,216,19532,19777,7.55145783451224,0.6568550360471941,2.7479916001531444,2.7479916001531444,67.5,190.84813835936905,406.77503038899204,0.0,
ID6523 → ID6782,216,6523,6782,1.050070378925588,3.096584623524124,1.0247294174198318,1.0247294174198318,18.5,186.55746434491584,408.8218832234107,0.0,
ID2696 → ID2900,216,2696,2900,0.4680787475990908,1.8552905758747036,0.6841628078163053,0.6841628078163053,2.5,187.2583835036489,427.2074635611681,0.0,
ID9327 → ID9606,216,9327,9606,1.913854910792009,1.4823316700077669,1.3834214508934033,1.3834214508934033,29.5,187.72988040294666,404.67223903323867,0.0,
ID18969 → ID19246,216,18969,19246,10.007002579579492,0.04412084741919317,3.1633846714523184,3.1633846714523184,65.5,184.18460650378307,407.7513648567061,0.0,
ID19777 → ID20024,216,19777,20024,2.3188682530188536,0.16594093105254246,1.5227830617060507,1.5227830617060507,68.5,192.9023338722381,407.3330794262737,0.0,
ID6009 → ID6272,216,6009,6272,2.81084337956713,0.49774883743877446,1.6765570015860272,1.6765570015860272,16.5,185.51735873706184,408.56597117141354,0.0,
ID23798 → ID24086,216,23798,24086,16.57269517322649,2.5364945526006344,4.070957525352787,4.070957525352787,82.5,198.36919864309593,411.1765348308153,0.0,
ID2900 → ID3170,216,2900,3170,20.157220032164986,2.647081064465457,4.489679279432439,4.489679279432439,3.5,189.0621575128643,426.4652503774555,0.0,
ID15921 → ID16230,216,15921,16230,0.19256913329820882,3.026144605397449,0.4388269970024734,0.4388269970024734,54.5,172.0104560819413,399.29674296312214,0.0,
ID7511 → ID7752,216,7511,7752,10.244300811962404,0.8805603185917104,3.200671931323547,3.200671931323547,22.5,186.85839725961307,406.5618942855764,0.0,
ID9606 → ID9868,216,9606,9868,0.9446885535436511,0.5666751517743986,0.9719509007885383,0.9719509007885383,30.5,188.05261176067546,405.7574583410858,0.0,
ID14357 → ID14587,216,14357,14587,1.7447807441620535,0.697807823451344,1.3209014891966977,1.3209014891966977,48.5,168.07449821772514,403.9947512223181,0.0,
ID18447 → ID18718,216,18447,18718,10.982179554289642,1.4102507918955463,3.3139371681264027,3.3139371681264027,63.5,179.24658942364823,408.1519022154316,0.0,
ID13372 → ID13639,216,13372,13639,8.15623585170885,0.8672343927742157,2.8559124376823686,2.8559124376823686,44.5,173.79405103111665,398.49596562614477,0.0,
ID24086 → ID24323,216,24086,24323,6.43215004356168,0.1531413077678067,2.5361683783932167,2.5361683783932167,83.5,199.22024050032766,407.99395095170365,0.0,
ID11490 → ID11708,216,11490,11708,8.365967878786847,2.6707588746020345,2.8923982918655664,2.8923982918655664,37.5,179.84175615349704,406.09224244825486,0.0,
ID13068 → ID13372,216,13068,13372,20.400832278062225,0.17268486679833162,4.51672805004488,4.51672805004488,43.5,177.11601792236735,399.021657483646,0.0,
ID21438 → ID21764,216,21438,21764,1.8214035674424558,0.5028979198024683,1.3495938527729205,1.3495938527729205,74.5,195.6465863753634,413.5874762115395,0.0,
ID9868 → ID10136,216,9868,10136,9.05779788174073,2.678314943424002,3.0096175640337974,3.0096175640337974,31.5,187.00449474799257,405.45145010109684,0.0,
ID13890 → ID14151,216,13890,14151,3.124149518136943,0.36206175307332655,1.7675263840002342,1.7675263840002342,46.5,167.14060388556837,402.4482816789034,0.0,
ID5445 → ID5639,216,5445,5639,0.8872582836311559,0.12981409592266965,0.9419438856063327,0.9419438856063327,14.5,184.47290569379282,408.97387444105544,0.0,
